Fecha,Hora,La Grama-Breña Alta PRB (mb),Flag,La Grama-Breña Alta SO2 (µg/m³),Flag
01-03-2019,01:00,998,V,2,V
01-03-2019,02:00,998,V,1,V
01-03-2019,03:00,997,V,1,V
01-03-2019,04:00,997,V,1,V
01-03-2019,05:00,997,V,1,V
01-03-2019,06:00,996,V,1,V
01-03-2019,07:00,997,V,2,V
01-03-2019,08:00,997,V,1,V
01-03-2019,09:00,997,V,3,V
01-03-2019,10:00,998,V,1,V
01-03-2019,11:00,998,V,1,V
01-03-2019,12:00,998,V,1,V
01-03-2019,13:00,998,V,4,V
01-03-2019,14:00,997,V,11,V
01-03-2019,15:00,997,V,29,V
01-03-2019,16:00,996,V,24,V
01-03-2019,17:00,996,V,20,V
01-03-2019,18:00,996,V,2,V
01-03-2019,19:00,997,V,3,V
01-03-2019,20:00,997,V,1,V
01-03-2019,21:00,998,V,1,V
01-03-2019,22:00,998,V,1,V
01-03-2019,23:00,998,V,1,V
01-03-2019,24:00,998,V,1,V
02-03-2019,01:00,998,V,2,V
02-03-2019,02:00,998,V,1,V
02-03-2019,03:00,997,V,1,V
02-03-2019,04:00,997,V,1,V
02-03-2019,05:00,997,V,2,V
02-03-2019,06:00,996,V,2,V
02-03-2019,07:00,996,V,2,V
02-03-2019,08:00,996,V,2,V
02-03-2019,09:00,997,V,1,V
02-03-2019,10:00,997,V,1,V
02-03-2019,11:00,998,V,2,V
02-03-2019,12:00,997,V,3,V
02-03-2019,13:00,997,V,3,V
02-03-2019,14:00,996,V,2,V
02-03-2019,15:00,995,V,3,V
02-03-2019,16:00,995,V,3,V
02-03-2019,17:00,995,V,3,V
02-03-2019,18:00,995,V,3,V
02-03-2019,19:00,995,V,2,V
02-03-2019,20:00,995,V,3,V
02-03-2019,21:00,995,V,3,V
02-03-2019,22:00,996,V,2,V
02-03-2019,23:00,996,V,3,V
02-03-2019,24:00,996,V,2,V
03-03-2019,01:00,995,V,2,V
03-03-2019,02:00,995,V,2,V
03-03-2019,03:00,995,V,3,V
03-03-2019,04:00,995,V,3,V
03-03-2019,05:00,995,V,2,V
03-03-2019,06:00,994,V,2,V
03-03-2019,07:00,995,V,3,V
03-03-2019,08:00,995,V,3,V
03-03-2019,09:00,996,V,3,V
03-03-2019,10:00,996,V,7,V
03-03-2019,11:00,997,V,27,V
03-03-2019,12:00,997,V,22,V
03-03-2019,13:00,996,V,25,V
03-03-2019,14:00,996,V,29,V
03-03-2019,15:00,995,V,52,V
03-03-2019,16:00,995,V,36,V
03-03-2019,17:00,995,V,9,V
03-03-2019,18:00,995,V,16,V
03-03-2019,19:00,995,V,4,V
03-03-2019,20:00,995,V,4,V
03-03-2019,21:00,996,V,4,V
03-03-2019,22:00,996,V,3,V
03-03-2019,23:00,997,V,2,V
03-03-2019,24:00,996,V,3,V
04-03-2019,01:00,996,V,2,V
04-03-2019,02:00,996,V,2,V
04-03-2019,03:00,995,V,1,V
04-03-2019,04:00,995,V,1,V
04-03-2019,05:00,995,V,1,V
