Fecha,Hora,La Grama-Breña Alta O3 (µg/m³),Flag,La Grama-Breña Alta VV (m/s),Flag,La Grama-Breña Alta DD (Grd),Flag,La Grama-Breña Alta TMP (ºC),Flag,La Grama-Breña Alta HR (%),Flag
01-03-2019,01:00,50,V,0.7,V,228,V,16.5,V,91,V
01-03-2019,02:00,40,V,1.5,V,315,V,15.6,V,91,V
01-03-2019,03:00,41,V,2,V,309,V,14.8,V,92,V
01-03-2019,04:00,44,V,1.2,V,290,V,15.4,V,88,V
01-03-2019,05:00,51,V,1.2,V,319,V,15.9,V,85,V
01-03-2019,06:00,50,V,2,V,306,V,15.6,V,84,V
01-03-2019,07:00,48,V,2.4,V,320,V,14.7,V,84,V
01-03-2019,08:00,45,V,1.5,V,309,V,15.3,V,82,V
01-03-2019,09:00,54,V,1.7,V,254,V,16.4,V,82,V
01-03-2019,10:00,62,V,3.4,V,238,V,17,V,87,V
01-03-2019,11:00,64,V,1.8,V,271,V,17.5,V,84,V
01-03-2019,12:00,62,V,2.9,V,280,V,18.3,V,76,V
01-03-2019,13:00,59,V,2.9,V,330,V,19.3,V,71,V
01-03-2019,14:00,53,V,3,V,303,V,21.2,V,67,V
01-03-2019,15:00,46,V,3.1,V,326,V,22.1,V,66,V
01-03-2019,16:00,43,V,3.3,V,323,V,20.3,V,74,V
01-03-2019,17:00,42,V,3.9,V,331,V,17.8,V,88,V
01-03-2019,18:00,61,V,2.7,V,286,V,17,V,90,V
01-03-2019,19:00,60,V,3.1,V,288,V,16.6,V,95,V
01-03-2019,20:00,61,V,2.6,V,195,V,15.7,V,99,V
01-03-2019,21:00,61,V,2.2,V,219,V,15.3,V,99,V
01-03-2019,22:00,61,V,3,V,251,V,15.1,V,95,V
01-03-2019,23:00,62,V,2.6,V,277,V,15.7,V,93,V
01-03-2019,24:00,63,V,3.4,V,272,V,15.9,V,91,V
02-03-2019,01:00,61,V,2.4,V,277,V,16,V,89,V
02-03-2019,02:00,62,V,2.6,V,273,V,15.9,V,88,V
02-03-2019,03:00,62,V,2.2,V,221,V,15.8,V,90,V
02-03-2019,04:00,62,V,3.4,V,224,V,15.6,V,91,V
02-03-2019,05:00,59,V,2,V,266,V,15.3,V,89,V
02-03-2019,06:00,60,V,2.6,V,268,V,15.3,V,89,V
02-03-2019,07:00,69,V,2.4,V,223,V,15.4,V,89,V
02-03-2019,08:00,70,V,3,V,250,V,15.5,V,90,V
02-03-2019,09:00,71,V,2.7,V,252,V,15.8,V,86,V
02-03-2019,10:00,66,V,2.4,V,257,V,16.5,V,88,V
02-03-2019,11:00,68,V,2.1,V,277,V,19.1,V,77,V
02-03-2019,12:00,70,V,2.3,V,296,V,20.7,V,74,V
02-03-2019,13:00,65,V,2.3,V,303,V,23.3,V,64,V
02-03-2019,14:00,63,V,2.4,V,332,V,21.5,V,69,V
02-03-2019,15:00,66,V,2.5,V,332,V,21.2,V,71,V
02-03-2019,16:00,65,V,2.5,V,285,V,21,V,72,V
02-03-2019,17:00,63,V,2.1,V,325,V,19,V,78,V
02-03-2019,18:00,61,V,1.5,V,283,V,18,V,79,V
02-03-2019,19:00,58,V,1.4,V,223,V,17.4,V,80,V
02-03-2019,20:00,53,V,2,V,271,V,16.2,V,80,V
02-03-2019,21:00,62,V,2.1,V,197,V,16.5,V,74,V
02-03-2019,22:00,59,V,2.4,V,298,V,16.8,V,72,V
