Fecha,Hora,La Grama-Breña Alta NO (µg/m³),Flag,La Grama-Breña Alta NO2 (µg/m³),Flag,La Grama-Breña Alta NOX (µg/m³),Flag,La Grama-Breña Alta PM2.5 (µg/m³),Flag,La Grama-Breña Alta CO (mg/m³),Flag
01-03-2019,01:00,1,V,6,V,8,V,1,V,0.3,V
01-03-2019,02:00,1,V,7,V,8,V,2,V,0.3,V
01-03-2019,03:00,1,V,5,V,7,V,6,V,0.3,V
01-03-2019,04:00,1,V,5,V,7,V,5,V,0.3,V
01-03-2019,05:00,1,V,5,V,6,V,4,V,0.3,V
01-03-2019,06:00,1,V,5,V,7,V,2,V,0.3,V
01-03-2019,07:00,1,V,9,V,11,V,1,V,0.3,V
01-03-2019,08:00,1,V,17,V,20,V,1,V,0.3,V
01-03-2019,09:00,1,V,13,V,16,V,6,V,0.3,V
01-03-2019,10:00,1,V,5,V,9,V,4,V,0.3,V
01-03-2019,11:00,2,V,3,V,8,V,2,V,0.3,V
01-03-2019,12:00,2,V,7,V,12,V,3,V,0.3,V
01-03-2019,13:00,3,V,12,V,18,V,2,V,0.3,V
01-03-2019,14:00,7,V,18,V,31,V,2,V,0.3,V
01-03-2019,15:00,11,V,25,V,46,V,2,V,0.3,V
01-03-2019,16:00,8,V,26,V,41,V,3,V,0.3,V
01-03-2019,17:00,8,V,25,V,40,V,5,V,0.3,V
01-03-2019,18:00,3,V,2,V,7,V,5,V,0.3,V
01-03-2019,19:00,3,V,5,V,10,V,3,V,0.3,V
01-03-2019,20:00,2,V,2,V,7,V,1,V,0.3,V
01-03-2019,21:00,3,V,1,V,7,V,1,V,0.3,V
01-03-2019,22:00,2,V,2,V,6,V,1,V,0.3,V
01-03-2019,23:00,2,V,2,V,6,V,1,V,0.3,V
01-03-2019,24:00,2,V,1,V,6,V,1,V,0.3,V
02-03-2019,01:00,2,V,1,V,6,V,1,V,0.3,V
02-03-2019,02:00,2,V,1,V,5,V,1,V,0.3,V
02-03-2019,03:00,2,V,1,V,6,V,1,V,0.3,V
02-03-2019,04:00,2,V,1,V,6,V,1,V,0.3,V
02-03-2019,05:00,3,V,1,V,6,V,1,V,0.3,V
02-03-2019,06:00,2,V,2,V,6,V,2,V,0.3,V
02-03-2019,07:00,2,V,1,V,6,V,1,V,0.3,V
02-03-2019,08:00,2,V,2,V,6,V,1,V,0.3,V
02-03-2019,09:00,3,V,1,V,6,V,1,V,0.3,V
02-03-2019,10:00,3,V,6,V,11,V,1,V,0.3,V
02-03-2019,11:00,3,V,2,V,8,V,1,V,0.3,V
02-03-2019,12:00,3,V,2,V,8,V,2,V,0.3,V
02-03-2019,13:00,3,V,8,V,14,V,1,V,0.3,V
02-03-2019,14:00,3,V,9,V,16,V,1,V,0.3,V
02-03-2019,15:00,2,V,5,V,11,V,2,V,0.3,V
02-03-2019,16:00,2,V,3,V,8,V,4,V,0.3,V
02-03-2019,17:00,1,V,5,V,9,V,2,V,0.3,V
02-03-2019,18:00,2,V,6,V,11,V,1,V,0.3,V
02-03-2019,19:00,2,V,7,V,12,V,2,V,0.3,V
02-03-2019,20:00,2,V,7,V,11,V,2,V,0.3,V
02-03-2019,21:00,2,V,1,V,6,V,2,V,0.3,V
02-03-2019,22:00,2,V,2,V,6,V,2,V,0.3,V
02-03-2019,23:00,2,V,2,V,6,V,2,V,0.3,V
02-03-2019,24:00,2,V,2,V,6,V,1,V,0.3,V
03-03-2019,01:00,2,V,1,V,5,V,1,V,0.3,V
03-03-2019,02:00,2,V,1,V,6,V,1,V,0.3,V
03-03-2019,03:00,2,V,2,V,6,V,1,V,0.3,V
03-03-2019,04:00,2,V,2,V,6,V,1,V,0.3,V
03-03-2019,05:00,2,V,2,V,6,V,1,V,0.3,V
03-03-2019,06:00,2,V,1,V,6,V,1,V,0.3,V
03-03-2019,07:00,2,V,1,V,6,V,1,V,0.3,V
03-03-2019,08:00,2,V,2,V,6,V,1,V,0.3,V
03-03-2019,09:00,2,V,2,V,7,V,1,V,0.3,V
03-03-2019,10:00,4,V,10,V,19,V,1,V,0.3,V
03-03-2019,11:00,8,V,14,V,31,V,2,V,0.3,V
03-03-2019,12:00,6,V,9,V,21,V,5,V,0.3,V
03-03-2019,13:00,11,V,13,V,32,V,3,V,0.3,V
03-03-2019,14:00,10,V,14,V,32,V,4,V,0.3,V
03-03-2019,15:00,16,V,20,V,47,V,4,V,0.3,V
03-03-2019,16:00,13,V,14,V,36,V,2,V,0.3,V
03-03-2019,17:00,5,V,10,V,20,V,4,V,0.3,V
03-03-2019,18:00,8,V,13,V,27,V,9,V,0.3,V
03-03-2019,19:00,3,V,5,V,11,V,6,V,0.3,V
03-03-2019,20:00,2,V,5,V,9,V,3,V,0.3,V
03-03-2019,21:00,2,V,6,V,10,V,1,V,0.3,V
03-03-2019,22:00,3,V,2,V,7,V,1,V,0.3,V
03-03-2019,23:00,2,V,2,V,6,V,1,V,0.3,V
03-03-2019,24:00,2,V,3,V,7,V,4,V,0.3,V
04-03-2019,01:00,2,V,3,V,7,V,2,V,0.3,V
04-03-2019,02:00,2,V,1,V,6,V,1,V,0.3,V
04-03-2019,03:00,2,V,1,V,5,V,1,V,0.3,V
04-03-2019,04:00,3,V,1,V,6,V,1,V,0.3,V
04-03-2019,05:00,2,V,1,V,5,V,1,V,0.3,V
04-03-2019,06:00,2,V,1,V,6,V,2,V,0.3,V
04-03-2019,07:00,2,V,3,V,7,V,2,V,0.3,V
04-03-2019,08:00,2,V,3,V,8,V,4,V,0.3,V
04-03-2019,09:00,9,V,17,V,34,V,2,V,0.3,V
04-03-2019,10:00,17,V,24,V,55,V,6,V,0.3,V
04-03-2019,11:00,13,V,20,V,44,V,5,V,0.3,V
04-03-2019,12:00,10,V,15,V,33,V,6,V,0.3,V
04-03-2019,13:00,9,V,14,V,30,V,6,V,0.3,V
04-03-2019,14:00,14,V,19,V,45,V,5,V,0.3,V
04-03-2019,15:00,,N,,N,,N,,N,,N
04-03-2019,16:00,,N,,N,,N,,N,,N
04-03-2019,17:00,,N,,N,,N,,N,,N
04-03-2019,18:00,,N,,N,,N,,N,,N
04-03-2019,19:00,8,V,16,V,30,V,3,V,0.3,V
04-03-2019,20:00,3,V,3,V,8,V,6,V,0.3,V
04-03-2019,21:00,3,V,7,V,13,V,7,V,0.3,V
04-03-2019,22:00,3,V,8,V,13,V,4,V,0.3,V
04-03-2019,23:00,2,V,8,V,13,V,4,V,0.3,V
04-03-2019,24:00,3,V,9,V,15,V,4,V,0.3,V
05-03-2019,01:00,3,V,8,V,13,V,2,V,0.3,V
05-03-2019,02:00,3,V,5,V,10,V,2,V,0.3,V
